"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
148,"Siegen-Wittgenstein",5,215751,156569,45.2407564715876,41.0726261265001,36.0927131169005,31.6556917397441,2.16070869712395,4.67972587166042,4.40125439901896,5.6971686604628,4.98693866601946,6.34672253128014,1.74491757627627,1.73853061589459,3.02997400507125,4.88794078010334,72.5693044296434,1132.9,280.7,248.6,9.1,11.6,36.3,16.7,9.8,40.2,726.9,5.4,53,"North Rhine-Westphalia",FALSE
149,"Olpe - Märkischer Kreis I",5,210836,150469,51.114182987858,47.4762243385681,32.3727811044135,27.9140553868239,2.38321514730609,5.11334560607168,3.74495743309253,4.72721956017519,3.41066930729918,5.13461244508836,1.79040200971629,1.79970625178608,2.61249825545461,4.08788521223641,71.3677929765315,1160.2,285.2,246.6,8.5,11.1,37.2,16.1,9.3,33.5,653.7,5.7,58.4,"North Rhine-Westphalia",FALSE
150,"Märkischer Kreis II",5,206189,145197,41.1633849184212,41.0036020027962,41.1998870500079,31.9001081289558,1.92290474321095,4.42915487234585,4.77007100697673,5.82863282299221,3.09786014862566,5.48978284675303,2.144672410587,2.26175471945013,3.24317995550872,4.90506002190128,70.4193725174476,611,279.8,459.4,8.6,10.5,36.7,17.3,9.7,33,513.7,6.9,73.3,"North Rhine-Westphalia",FALSE
151,"Nordsachsen",14,168695,112071,44.5306992888437,44.1443370720347,19.9123769753103,15.1421866495347,2.03085543985509,2.59835282990247,21.2749060863203,20.2514477429487,3.03289878737586,2.80536445646064,1.91753442014437,1.91039608819409,NA,6.03367508097545,66.4340970390349,2020.3,203.2,101.1,6.4,11.3,39.1,18.8,10.9,23.1,254.2,10.3,105.9,"Saxony",TRUE
152,"Leipzig I",14,210456,138427,39.4186105311825,36.4675966393839,21.3188178606775,18.2666676298699,1.66658238638416,2.90983695377347,23.0612525013184,21.0378033187167,5.55021780433008,6.83826132185195,2.92067299009586,3.1511193625521,NA,6.06384592601154,65.7747937811229,170.8,262,1512.9,9,17.3,33.1,17.3,10,34.4,363.6,10.8,133.7,"Saxony",TRUE
153,"Leipzig II",14,219865,153935,33.8305128788125,32.1908597784779,23.0714262513399,18.6949036931172,1.45321077077987,2.97723064930003,24.5233377724364,22.2834313184136,8.92064832559197,11.0923441712411,2.54263163023354,3.83083769123331,NA,5.00341053041868,70.0134173242672,126.6,276.2,2160.1,9,17.3,33.1,17.3,10,34.4,363.6,10.8,133.7,"Saxony",TRUE
154,"Leipzig-Land",14,220400,151537,50.3329219926487,45.1031761220032,15.5354797838152,14.9673017150927,1.90712499257607,2.83231158067007,21.0278677814659,19.6097322766057,3.23683324864555,3.23287381959521,2.11103558866811,1.9170235652019,NA,6.31001009654408,68.755444646098,1647.1,264,161,6.1,10.6,38.9,19.8,10.9,27.7,246.6,9.2,94.6,"Saxony",TRUE
155,"Meißen",14,207261,145679,52.6266654768361,44.3591732507774,12.4177129167553,12.3724078281702,2.37577138777724,3.60587318693841,17.3525353688589,18.3519930806774,3.30658502598178,3.92712745145148,2.47118665010056,2.23230527392418,NA,6.99826330493757,70.2877048745302,1452.4,250.4,173,6,11.1,37.5,19.7,11.8,27.5,276.8,9,91.4,"Saxony",TRUE
156,"Bautzen I",14,223726,155255,48.1749380052172,44.6587871566133,11.1223471063734,11.9171685291939,2.54291327171428,3.04209204212425,20.9023863965734,19.5098386525394,2.38897297993623,2.73678786512512,1.95484847508937,2.00251199639303,NA,6.96338282180928,69.3951529996514,2220.3,269.8,122.3,6.1,11.2,37.4,19.6,11.9,30.6,232.6,9.4,91.5,"Saxony",TRUE
157,"Görlitz",14,223614,152944,48.5171042996129,43.2223558949681,14.8688408829375,12.3175802908254,1.59666283084005,2.736295637619,19.3207971545141,19.2096453603933,3.29859294905325,3.29793911497019,2.53556857411863,2.13084527670258,NA,8.06242807825086,68.3964331392489,2106.2,271.1,129.9,6.1,10.3,36.6,21,12.8,23,211.2,12.4,118.7,"Saxony",TRUE
158,"Sächsische Schweiz - Osterzgebirge",14,207752,147427,49.274556221045,45.2244161517225,10.4743364512606,10.7612581141853,1.78257713987261,3.15749489577893,18.7014590271796,16.8544432159645,2.87871285449748,3.49868070299199,1.88500071221689,2.0213393747414,NA,7.74417169175253,70.9629750856791,1653.7,250.6,151.7,6.1,11,36.8,20.3,11.6,26.4,225.4,8.8,86.6,"Saxony",TRUE
159,"Dresden I",14,233382,173167,41.8884660472261,39.3793274700145,14.6223010157825,15.2684980394648,1.9085622549331,3.02771313240975,24.5999526468669,18.7708974573677,6.02251006254078,7.80575975792154,3.01269872435279,3.51452643979511,NA,6.82231603019051,74.1989527898467,81.5,287.4,3514.8,10,17.3,31.6,17.1,9.8,36.3,438,8.8,95.9,"Saxony",TRUE
160,"Dresden II - Bautzen II",14,235691,173489,41.0556288871341,38.0957870527814,14.4965963259919,13.8008749834283,2.00070321461303,3.11547129789209,18.7838998437941,17.9025759558243,9.59715025160097,9.39771397610223,4.51959490227046,4.32765189723844,NA,6.87651666676273,73.6086655833273,417.2,292.8,696.3,9.4,16.3,32.6,17.5,10,35.2,437.5,8.9,95.2,"Saxony",TRUE
161,"Mittelsachsen",14,210677,145578,50.9754221104837,44.6296830565058,15.1664399840635,13.0995067936089,2.2001950844221,3.38856145846213,19.9748588385608,20.2812238112902,3.14814051573727,3.23057055324293,2.1507370619187,2.08960145076866,NA,6.18019206198739,69.1000916094305,1672.8,254.2,153,6.6,11.5,36.3,20,12.2,29.6,365.5,8.6,80.6,"Saxony",TRUE
162,"Chemnitz",14,201249,135876,41.147075274515,38.5498542789013,20.6813565309547,17.3378668786246,2.0047690541376,2.84450528422974,23.5449969089464,22.8252229974388,4.76537431187259,5.27539815714328,2.06659012629162,2.42721304719009,NA,5.9892843474933,67.5163603297408,220.8,243.5,1101.1,7.4,13.1,32.8,22.1,12.2,31.7,365.4,10.1,110.4,"Saxony",TRUE
163,"Chemnitzer Umland - Erzgebirgskreis II",14,191550,134560,48.4222651605232,44.5444411414982,15.2474732461356,14.2523781212842,2.23394768133175,2.67092746730083,21.3904577883472,19.6447681331748,3.62217598097503,3.18222354340071,2.15740190249703,1.87425683709869,NA,7.16111771700357,70.2479770294962,901.6,227.7,254.3,5.9,10.6,36.7,20.7,12.8,28.9,245,8.6,83.2,"Saxony",TRUE
164,"Erzgebirgskreis I",14,232499,161718,49.0471066918958,45.2009052795607,11.837272288799,12.4377001941652,6.33572020430626,3.60380415290815,20.0793974696694,19.0090156939858,3.12333815654411,2.45118044991899,2.0177098405867,1.86002794988808,NA,7.49390915049654,69.5564281996912,1561.9,278.3,179.6,6.1,11.1,36.2,20.7,12.2,25,202.5,8.8,83.9,"Saxony",TRUE
